DATE,RATE
10/14/2014,2.21
10/15/2014,2.15
10/16/2014,2.17
10/17/2014,2.22
10/20/2014,2.2
10/21/2014,2.23
10/22/2014,2.25
10/23/2014,2.29
10/24/2014,2.29
10/27/2014,2.27
10/28/2014,2.3
10/29/2014,2.34
10/30/2014,2.32
10/31/2014,2.35
11/3/2014,2.36
11/4/2014,2.35
11/5/2014,2.36
11/6/2014,2.39
11/7/2014,2.32
11/10/2014,2.38
11/11/2014,.
11/12/2014,2.37
11/13/2014,2.35
11/14/2014,2.32
11/17/2014,2.34
11/18/2014,2.32
11/19/2014,2.36
11/20/2014,2.34
11/21/2014,2.31
11/24/2014,2.3
11/25/2014,2.27
11/26/2014,2.24
11/27/2014,.
11/28/2014,2.18
12/1/2014,2.22
12/2/2014,2.28
12/3/2014,2.29
12/4/2014,2.25
12/5/2014,2.31
12/8/2014,2.26
12/9/2014,2.22
12/10/2014,2.18
12/11/2014,2.19
12/12/2014,2.1
12/15/2014,2.12
12/16/2014,2.07
12/17/2014,2.14
12/18/2014,2.22
12/19/2014,2.17
12/22/2014,2.17
12/23/2014,2.26
12/24/2014,2.27
12/25/2014,.
12/26/2014,2.25
12/29/2014,2.22
12/30/2014,2.2
12/31/2014,2.17
1/1/2015,.
1/2/2015,2.12
1/5/2015,2.04
1/6/2015,1.97
1/7/2015,1.96
1/8/2015,2.03
1/9/2015,1.98
1/12/2015,1.92
1/13/2015,1.91
1/14/2015,1.86
1/15/2015,1.77
1/16/2015,1.83
1/19/2015,.
1/20/2015,1.82
1/21/2015,1.87
1/22/2015,1.9
1/23/2015,1.81
1/26/2015,1.83
1/27/2015,1.83
1/28/2015,1.73
1/29/2015,1.77
1/30/2015,1.68
2/2/2015,1.68
2/3/2015,1.79
2/4/2015,1.81
2/5/2015,1.83
2/6/2015,1.95
2/9/2015,1.96
2/10/2015,2.01
2/11/2015,2
2/12/2015,1.99
2/13/2015,2.02
2/16/2015,.
2/17/2015,2.14
2/18/2015,2.07
2/19/2015,2.11
2/20/2015,2.13
2/23/2015,2.06
2/24/2015,1.99
2/25/2015,1.96
2/26/2015,2.03
2/27/2015,2
3/2/2015,2.08
3/3/2015,2.12
3/4/2015,2.12
3/5/2015,2.11
3/6/2015,2.24
3/9/2015,2.2
3/10/2015,2.14
3/11/2015,2.11
3/12/2015,2.1
3/13/2015,2.13
3/16/2015,2.1
3/17/2015,2.06
3/18/2015,1.93
3/19/2015,1.98
3/20/2015,1.93
3/23/2015,1.92
3/24/2015,1.88
3/25/2015,1.93
3/26/2015,2.01
3/27/2015,1.95
3/30/2015,1.96
3/31/2015,1.94
4/1/2015,1.87
4/2/2015,1.92
4/3/2015,1.85
4/6/2015,1.92
4/7/2015,1.89
4/8/2015,1.92
4/9/2015,1.97
4/10/2015,1.96
4/13/2015,1.94
4/14/2015,1.9
4/15/2015,1.91
4/16/2015,1.9
4/17/2015,1.87
4/20/2015,1.9
4/21/2015,1.92
4/22/2015,1.99
4/23/2015,1.96
4/24/2015,1.93
4/27/2015,1.94
4/28/2015,2
4/29/2015,2.06
4/30/2015,2.05
5/1/2015,2.12
5/4/2015,2.16
5/5/2015,2.19
5/6/2015,2.25
5/7/2015,2.18
5/8/2015,2.16
5/11/2015,2.28
5/12/2015,2.28
5/13/2015,2.27
5/14/2015,2.23
5/15/2015,2.14
5/18/2015,2.23
5/19/2015,2.27
5/20/2015,2.26
5/21/2015,2.19
5/22/2015,2.21
5/25/2015,.
5/26/2015,2.14
5/27/2015,2.14
5/28/2015,2.13
5/29/2015,2.12
6/1/2015,2.19
6/2/2015,2.27
6/3/2015,2.38
6/4/2015,2.31
6/5/2015,2.41
6/8/2015,2.39
6/9/2015,2.42
6/10/2015,2.5
6/11/2015,2.39
6/12/2015,2.39
6/15/2015,2.36
6/16/2015,2.32
6/17/2015,2.32
6/18/2015,2.35
6/19/2015,2.26
6/22/2015,2.37
6/23/2015,2.42
6/24/2015,2.38
6/25/2015,2.4
6/26/2015,2.49
6/29/2015,2.33
6/30/2015,2.35
7/1/2015,2.43
7/2/2015,2.4
7/3/2015,.
7/6/2015,2.3
7/7/2015,2.27
7/8/2015,2.22
7/9/2015,2.32
7/10/2015,2.42
7/13/2015,2.44
7/14/2015,2.41
7/15/2015,2.36
7/16/2015,2.36
7/17/2015,2.34
